first_seen,run_date,ticker,name,module,score,durability,moat,price,buy_price,owner_earnings_yield,hurdle,clears_hurdle,status,note
2026-09-11,2026-09-11,UI,Ubiquiti Inc.,software,62.9,80.0,wide,563.79,145.47,0.0215,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,GWW,"W.W. GRAINGER, INC.",industrials,61.4,83.0,wide,1280.92,337.56,0.0222,0.0600,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,CDNS,CADENCE DESIGN SYSTEMS INC,software,60.7,74.4,narrow,289.37,48.30,0.0145,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,EME,"EMCOR Group, Inc.",industrials,60.7,79.0,narrow,780.57,168.98,0.0184,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,LECO,LINCOLN ELECTRIC HOLDINGS INC,industrials,60.7,60.0,narrow,253.06,88.31,0.0287,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,REGN,"REGENERON PHARMACEUTICALS, INC.",healthcare,60.7,64.0,narrow,781.49,545.55,0.0661,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,TJX,TJX COMPANIES INC /DE/,consumer,60.6,66.0,narrow,126.07,50.08,0.0359,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,RMD,RESMED INC,healthcare,60.0,69.0,narrow,218.24,123.48,0.0492,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,SSD,"Simpson Manufacturing Co., Inc.",industrials,60.0,74.0,narrow,173.48,99.70,0.0484,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,THG,"HANOVER INSURANCE GROUP, INC.",financials,57.8,28.9,uncertain,226.10,110.51,0.0535,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,industrials,57.1,49.0,uncertain,323.69,89.90,0.0248,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,CHRW,"C. H. ROBINSON WORLDWIDE, INC.",industrials,57.1,69.0,narrow,152.78,39.55,0.0288,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,FSS,FEDERAL SIGNAL CORP /DE/,industrials,57.1,68.0,narrow,113.98,40.40,0.0304,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,ISRG,INTUITIVE SURGICAL INC,healthcare,55.7,61.0,narrow,369.15,75.64,0.0187,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,FIX,COMFORT SYSTEMS USA INC,industrials,53.6,76.0,narrow,1690.96,164.67,0.0082,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,DXCM,DEXCOM INC,healthcare,52.9,63.0,narrow,83.03,17.68,0.0189,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,EW,Edwards Lifesciences Corp,healthcare,52.1,57.0,narrow,84.40,25.56,0.0312,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,ITT,ITT INC.,industrials,51.4,56.0,narrow,204.14,47.82,0.0286,0.0800,no,watchlist,first appearance on the list
2026-09-11,2026-09-11,FHI,"FEDERATED HERMES, INC.",fee_business,92.0,62.2,narrow,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,HLI,"HOULIHAN LOKEY, INC.",fee_business,80.7,92.2,wide,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,GOOG,Alphabet Inc.,software,79.0,79.0,narrow,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,NYT,NEW YORK TIMES CO,media,75.0,75.0,narrow,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,DKS,"DICK'S SPORTING GOODS, INC.",consumer,72.0,76.0,narrow,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,WTS,WATTS WATER TECHNOLOGIES INC,industrials,71.0,42.0,uncertain,,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,TROW,PRICE T ROWE GROUP INC,fee_business,65.6,54.4,uncertain,106.29,,,,,watchlist,first appearance on the list
2026-09-11,2026-09-11,ANF,ABERCROMBIE & FITCH CO /DE/,consumer,77.1,33.0,uncertain,145.23,125.07,0.0943,0.0800,yes,cleared,first appearance on the list
2026-09-11,2026-09-11,HD,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,MKTX,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,GGG,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,GWW,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,GOOG,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,DKS,,,,,,,,,,,dropped,no longer among the survivors (was watchlist)
2026-09-11,2026-09-11,ANF,,,,,,,,,,,dropped,no longer among the survivors (was cleared)
